region,shop name,address
metro,Affinity for Quilts,"2199 4th St, White Bear Lake, MN 55110"
metro,Country Loft Quilt & Design,"15161 Feller St NE, Forest Lake, MN 55025"
metro,Millie P's Quilt Shop,"219 E Main St, Anoka, MN 55303"
metro,Quilt Cove,"1960 Cliff Lake Rd, Suite 134, Eagan, MN 55122"
metro,Quilter's Haven,"2930 146th St, Suite 108, Rosemount, MN 55068"
metro,Twin Cities Quilting,"550 County Rd D, New Brighton, MN 55112"
east central,Country Caboose Quilts,"108 South Main St, Wahkon, MN 56386"
east central,Gone to Pieces Quilt Shop,"70 S Main, Kimball, MN 55353"
east central,Gruber's Quilt Shop,"310 4th Ave NE, Waite Park, MN 56387"
east central,The Noble Quilter,"19570 Holt St NW, Elk River, MN 55330"
east central,Quarry Quilts & Yarns,"326 Quarry Place, Sandstone, MN 55072"
east central,Quilted Treasures,"14178 Northdale Blvd, Rogers, MN 55374"
northeast,47 Degrees North Quilt Shop,"5325 W Hwy 61 #3, Lutsen, MN 55612"
northeast,Hannah Johnson Fabrics,"4511 E Superior St, Duluth, MN 55804"
northeast,Hingeley Road Quilt Shop,"11284 Hwy 2, Floodwood, MN 55736"
northeast,Quilt Corner,"1007 Main St, Beaver Bay, MN 55601"
northeast,Quilted Dog Quilt Shop,"274 Hwy 33 N, Cloquet, MN 55720"
northwest,Anderson Fabrics Quilt Shop,"24 Summit Ave E, Blackduck, MN 56630"
northwest,Oklee Quilting Supply,"205 Main St, Oklee, MN 56742"
northwest,"Quilter's Jem, LLC","1525 Central Ave NW, East Grand Forks, MN 56721"
northwest,Sadie Rae's Quilt Shop,"405 Beltrami Ave NW, Bemidji, MN 56601"
northwest,Up North Quilt Shop,"4062 Highway 11, International Falls, MN 56649"
north central,Colorz Quilt Shop,"14091 Baxter Drive, Suite 112, Baxter, MN 56425"
north central,Front Porch Quilt Shop,"613 Michigan Ave W, Walker, MN 56484"
north central,Hometown Crafts & Fabrics,"111 S. Jefferson St, Wadena, MN 56482"
north central,Mother Originals Quilt Shop,"29514 Patriot Ave, Pequot Lakes, MN 56472"
north central,Quilter's Cottage,"1701 W Lincoln Ave, Fergus Falls, MN 56537"
west central,Dawn's Quilt Shop,"522 Broadway St, Alexandria, MN 56308"
west central,DeAnn's Country Village Shoppe,"115 Sibley Ave N, Litchfield, MN 55355"
west central,Heather's Book Nook & Sew Much More,"682 Prentice St, Granite Falls, MN 56241"
west central,Paisley Threads,"14 Main St S, New London, MN 56273"
west central,Quilt Haven on Main  ,"7 N Main St, Hutchinson, MN 55350"
west central,Sweetwater Cotton shoppe,"122 W James St, Paynesville, MN 56362"
south central,Cabby's Corner Quilt & Fabric,"1030 1st Ave, Gibbon, MN 55335"
south central,Quilter's Dream,"116 1st St S, Montgomery, MN 56069"
south central,Quilting by the Hearth,"208 Main St S, Lonsdale, MN 55046"
south central,River City Quilts,"529 N Riverfront Drive, Mankato 56001"
south central,Sewing Seeds Quilt Company,"1417 S State St, New Ulm, MN 56073"
south central,Spinning Spools Quilt Shop,"106 S Minnesota St, New Ulm, MN 56073"
south central,Sue's Quilt Shop,"112 Main Street E, New Prague, MN 56071"
south central,The Thimble Box,"2 South Minnesota St, New Ulm, MN 56073"
southwest,Crafty Corner Quilt & Sewing Shoppe,"1820 Oxford St, Worthington, MN 56187"
southwest,Michele's Quilting & Sewing Center,"120 N Main St, Blue Earth, MN 56013"
southwest,Old Alley Quilt Shop,"115 N Main St, Sherburn, MN 56171"
southwest,Prairie Quilting,"1293 Hale Place, Windom, MN 56101"
southwest,Stitchin' It Up Quilt Shop,"12536 County Highway 6, Lamberton, MN 56152"
southeast,Bluffview Quilt Shop,"1671 W 5th St, Winona, MN 55987"
southeast,Calico Hutch,"20520 810th Ave, Hayward, MN 56043"
southeast,The Humble Heart,"49 S Broadway, Wells, MN 56097"
southeast,Pine Needles Quilt & Sew,"1300 Salem Rd SW, Rochester, MN 55902"
southeast,Rather Bee Quilting,"106 S Lakeshore Dr, Lake City, MN 55041"
southeast,What's Brewing Quilt Shop,"330 2nd St W, Wabasha 55981"
